"model_id","team_abbr","model_abbr","team_name","model_name","designated_model","methods","methods_long","ensemble_of_models","mechanistic","ai_ml","stat"
"DMAPRIME-QR","DMAPRIME","QR","CPHMR, Clemson University","Quantile Regression",TRUE,"a parametric asymmetric quantile regression model integrating real-time ehr surveillance data with historical cdc trends. predictors include weekly prisma health ehr flu test volumes, positive tests, inpatient hospitalizations, log-transformed 1–2 week momentum, and seasonal/holiday indicators. forecasts use a recursive approach where the model median is generated by propagating the most recent observed predictor values forward across four horizons (nowcast, 1-, 2-, and 3-week ahead). forecast uncertainty scales with horizon using a residual standard deviation multiplier (0.7 at nowcast to 1.15 at 3-week ahead). an asymmetric squeeze is applied to upper quantiles: the q50–q75 range is compressed by 20% and the q75–q99 range by 50%, reflecting the epidemiological asymmetry that admissions are less likely to spike unexpectedly than to decline during the post-peak phase. quantile monotonicity is enforced via isotonic regression. model updated february 25, 2026: surge-floor logic temporarily disabled during confirmed post-peak seasonal decline to prevent upward median bias when laboratory signals reflect residual activity rather than a genuine rebound.","A parametric asymmetric quantile regression model integrating real-time EHR surveillance data with historical CDC trends. Predictors include weekly Prisma Health EHR flu test volumes, positive tests, inpatient hospitalizations, log-transformed 1–2 week momentum, and seasonal/holiday indicators. Forecasts use a recursive approach where the model median is generated by propagating the most recent observed predictor values forward across four horizons (nowcast, 1-, 2-, and 3-week ahead). Forecast uncertainty scales with horizon using a residual standard deviation multiplier (0.7 at nowcast to 1.15 at 3-week ahead). An asymmetric squeeze is applied to upper quantiles: the Q50–Q75 range is compressed by 20% and the Q75–Q99 range by 50%, reflecting the epidemiological asymmetry that admissions are less likely to spike unexpectedly than to decline during the post-peak phase. Quantile monotonicity is enforced via isotonic regression. Model updated February 25, 2026: Surge-floor logic temporarily disabled during confirmed post-peak seasonal decline to prevent upward median bias when laboratory signals reflect residual activity rather than a genuine rebound.",FALSE,FALSE,FALSE,TRUE
"Epistorm-Ensemble_Flu","Epistorm","Ensemble_Flu","Epistorm: Center for Advanced Epidemic Analytics and Predictive Modeling Technology","Epistorm Ensemble Flu Hospitalization Forecast",TRUE,"median ensemble of hospitalization quantile forecasts. the ensemble is constructed by taking the median of the quantile forecasts from all eligible models for each location. categorical forecasts are generated by interpolating the cdf of the hospitalization quantile forecasts evaluated at the given thresholds. eligible models are those that are supported by the epistorm center. these models are:  mighte-nsemble, mighte-joint, ceph-rtrend_fluh,  mobs-epystrain_flu,  mobs-gleam_rl_fluh, nu-pgf_fluh, neu_isi-flubcast,  neu_isi-adaptiveensemble, gatech-ensemble_prob, gatech-ensemble_stat.","Median ensemble of hospitalization quantile forecasts. The ensemble is constructed by taking the median of the quantile forecasts from all eligible models for each location. Categorical forecasts are generated by interpolating the CDF of the hospitalization quantile forecasts evaluated at the given thresholds. Eligible models are those that are supported by the Epistorm Center. These models are:  MIGHTE-Nsemble, MIGHTE-Joint, CEPH-Rtrend_fluH,  MOBS-EpyStrain_Flu,  MOBS-GLEAM_RL_FLUH, NU-PGF_FLUH, NEU_ISI-FluBcast,  NEU_ISI-AdaptiveEnsemble, Gatech-ensemble_prob, Gatech-ensemble_stat.",TRUE,FALSE,FALSE,TRUE
"fjordhest-ensemble","fjordhest","ensemble","Fjordhest","fjordhest-ensemble",TRUE,"the mechanistic model is a stochastic seir model, with a sequential monte carlo based inference. quantile autoregression model uses quantgen r package, and is similar to cmu-timeseries model from 2022/23 season. random walk model uses fable r package. to build an ensemble, the quantile distributions of the component models are weighted (location- and target-specific) by the mean of inverse-wis scores over the last 3 weeks that could be evaluated. the estimates are solely the responsibility of the contributors and do not represent, nor are endorsed by, the norwegian institute of public health.","The mechanistic model is a stochastic SEIR model, with a sequential Monte Carlo based inference. Quantile autoregression model uses quantgen R package, and is similar to CMU-Timeseries model from 2022/23 season. Random walk model uses fable R package. To build an ensemble, the quantile distributions of the component models are weighted (location- and target-specific) by the mean of inverse-WIS scores over the last 3 weeks that could be evaluated. The estimates are solely the responsibility of the contributors and do not represent, nor are endorsed by, the Norwegian Institute of Public Health.",TRUE,TRUE,FALSE,TRUE
"FluSight-baseline","FluSight","baseline","FluSight-baseline","Baseline model using reported weekly admissions",FALSE,"the median prediction at all future horizons is the most recent observed weekly incidence.  to get a distribution around the median, we look at how much incidence has changed from week to week in the past, and we allow for the possibility that similar changes will occur again in the future.
in more technical detail, forecasts of incidence are generated through the following procedure: for each location, 1) calculate first differences of incidence; 2) collect all first differences and their negatives; 3) for each time step, i) sample first differences in incidence and add to the most recent observed incidence; ii) enforce that the median of the predictive distribution for incidence is equal to the most recent observed incidence; iii) truncate the predictive distribution for incidence at 0.
reimplementation of the 2022-23 baseline model contributed to by evan l. ray, nutcha wattanachit, and ryan tibshirani.","The median prediction at all future horizons is the most recent observed weekly incidence.  To get a distribution around the median, we look at how much incidence has changed from week to week in the past, and we allow for the possibility that similar changes will occur again in the future.
In more technical detail, forecasts of incidence are generated through the following procedure: for each location, 1) Calculate first differences of incidence; 2) Collect all first differences and their negatives; 3) For each time step, i) Sample first differences in incidence and add to the most recent observed incidence; ii) Enforce that the median of the predictive distribution for incidence is equal to the most recent observed incidence; iii) truncate the predictive distribution for incidence at 0.
Reimplementation of the 2022-23 baseline model contributed to by Evan L. Ray, Nutcha Wattanachit, and Ryan Tibshirani.",FALSE,FALSE,FALSE,TRUE
"FluSight-baseline_cat","FluSight","baseline_cat","FluSight-baseline_cat","Reference model translating FluSight-baseline quantile forecasts to pmf",FALSE,"simple reference model translating flusight baseline quantile forecasts to pmf using a customized version of a function to translate quantile forecasts to pmf forecasts.","Simple reference model translating FluSight baseline quantile forecasts to pmf using a customized version of a function to translate quantile forecasts to pmf forecasts.",FALSE,FALSE,FALSE,TRUE
"FluSight-base_seasonal","FluSight","base_seasonal","FluSight-base_seasonal","Baseline seasonal model using historic data",FALSE,"these seasonal target estimates were calculated based on a combination of flusurv-net (2010/11-2019/20) and hhs/nhsn (2021/22-2023/24) data on influenza hospital admissions. for the peak week target, peak weeks were identified from each jurisdiction and season; peak week replicates consisted of national values as well as jurisdiction specific values (14 states for flusurv-net and all states, dc, and puerto rico for hhs protect/nhsn). gaussian kernel density estimation was used to approximate the distribution of peak weeks and hospitalization rates to then generate predicted peak probabilities for each week of the flu season. the intial distribution encompassed epidemic weeks 40 through 22, but the probabilities were proportionally redistributed to align with the current season's challenge period (epidemic weeks 47 through 22). the same distribution was replicated for the national level and all jurisdictions.
for the peak intensity baseline, kernel density estimation was performed on historic weekly hospitalization rates from flusurv-net and hhs protect/nhsn (reported counts converted to rates using population size) using the same seasons specified above and a range of prespecified quantiles, which were then used to estimate the peak intensity by identifying the maximum value across all quantiles. once quantile distributions for peak rates were identified, state population sizes from the 2023 u.s census estimates were used to translate these rates into weekly counts of influenza hospital admissions.
this method was adapted from previous flusight challenge seasonal baselines that included peak week and peak intensity as targets, specifically from the 2015/16 to 2019/20 seasons.","These seasonal target estimates were calculated based on a combination of FluSurv-NET (2010/11-2019/20) and HHS/NHSN (2021/22-2023/24) data on influenza hospital admissions. For the peak week target, peak weeks were identified from each jurisdiction and season; peak week replicates consisted of national values as well as jurisdiction specific values (14 states for FluSurv-NET and all states, DC, and Puerto Rico for HHS Protect/NHSN). Gaussian kernel density estimation was used to approximate the distribution of peak weeks and hospitalization rates to then generate predicted peak probabilities for each week of the flu season. The intial distribution encompassed epidemic weeks 40 through 22, but the probabilities were proportionally redistributed to align with the current season's challenge period (epidemic weeks 47 through 22). The same distribution was replicated for the national level and all jurisdictions.
For the peak intensity baseline, kernel density estimation was performed on historic weekly hospitalization rates from FluSurv-NET and HHS Protect/NHSN (reported counts converted to rates using population size) using the same seasons specified above and a range of prespecified quantiles, which were then used to estimate the peak intensity by identifying the maximum value across all quantiles. Once quantile distributions for peak rates were identified, state population sizes from the 2023 U.S Census Estimates were used to translate these rates into weekly counts of influenza hospital admissions.
This method was adapted from previous FluSight Challenge seasonal baselines that included peak week and peak intensity as targets, specifically from the 2015/16 to 2019/20 seasons.",FALSE,FALSE,FALSE,TRUE
"FluSight-ensemble","FluSight","ensemble","FluSight-ensemble","Ensemble models using FluSight forecast submissions",FALSE,"the hubverse package hubensembles is used to generate the flusight-ensemble forecast a median of quantile outputs is used for all eligible quantile-based forecasts. the mean is used to ensemble probabilities from eligible categorical rate-trend forecasts.","The Hubverse package hubEnsembles is used to generate the FluSight-ensemble forecast A median of quantile outputs is used for all eligible quantile-based forecasts. The mean is used to ensemble probabilities from eligible categorical rate-trend forecasts.",TRUE,FALSE,FALSE,TRUE
"FluSight-ens_q_cat","FluSight","ens_q_cat","FluSight-ens_q_cat","Reference model translating FluSight-ensemble quantile forecasts to pmf",FALSE,"simple reference model translating flusight ensemble quantile forecasts to pmf using a customized version of a function to translate quantile forecasts to pmf forecasts.","Simple reference model translating FluSight ensemble quantile forecasts to pmf using a customized version of a function to translate quantile forecasts to pmf forecasts.",FALSE,FALSE,FALSE,TRUE
"FluSight-equal_cat","FluSight","equal_cat","FluSight-equal_cat","Baseline model with equal probabilities for each rate-trend category",FALSE,"simple baseline model predicting that the probability for each rate-trend category will be equal. since there are five categories, for each jurisdiction and rate-difference horizon each category recieves a probability of 0.2 of occurring.","Simple baseline model predicting that the probability for each rate-trend category will be equal. Since there are five categories, for each jurisdiction and rate-difference horizon each category recieves a probability of 0.2 of occurring.",FALSE,FALSE,FALSE,TRUE
"FluSight-judge_ensemble","FluSight","judge_ensemble","FluSight-judge_ensemble","Ensemble models using selected FluSight forecast submissions",FALSE,"the hubverse package hubensembles is used to generate the flusight-human_ensemble forecast. a median of quantile outputs is used for a subset of quantile based forecasts selected weekly.","The Hubverse package hubEnsembles is used to generate the FluSight-human_ensemble forecast. A median of quantile outputs is used for a subset of quantile based forecasts selected weekly.",TRUE,FALSE,FALSE,TRUE
"FluSight-lop_norm","FluSight","lop_norm","FluSight-lop_norm","Linear opinion pool ensemble of FluSight forecast submissions",FALSE,"the hubverse package hubensembles is used to generate the flusight-lop_norm forecast. a linear opinion pool of quantile outputs is used for all eligible quantile-based forecasts.","The Hubverse package hubEnsembles is used to generate the FluSight-lop_norm forecast. A linear opinion pool of quantile outputs is used for all eligible quantile-based forecasts.",TRUE,FALSE,FALSE,TRUE
"FluSight-national_cat","FluSight","national_cat","FluSight-national_cat","National baseline model with the rate-trend forecasts",FALSE,"the probability that a jurisdiction is in each category depends on the percentage of location falling in each category for the most recent observed one week and two week differences. this probability distribution is applied to each location.","The probability that a jurisdiction is in each category depends on the percentage of location falling in each category for the most recent observed one week and two week differences. This probability distribution is applied to each location.",FALSE,FALSE,FALSE,TRUE
"FluSight-trained_mean","FluSight","trained_mean","FluSight-trained_mean","Ensemble models using 6 weeks of FluSight forecast submissions",FALSE,"the hubverse package hubensembles is used to generate the ensemble forecast. a weighted mean of quantile outputs is used for all eligible quantile-based forecasts with submissions during the prior six weeks. weights were calculated using a sigmoidal transformation of the forecasts’ relative weighted interval score with respect to the baseline forecast during the prior six weeks. the weight for included forecasts was limited to 0.3.","The Hubverse package hubEnsembles is used to generate the ensemble forecast. A weighted mean of quantile outputs is used for all eligible quantile-based forecasts with submissions during the prior six weeks. Weights were calculated using a sigmoidal transformation of the forecasts’ relative weighted interval score with respect to the baseline forecast during the prior six weeks. The weight for included forecasts was limited to 0.3.",TRUE,FALSE,FALSE,TRUE
"FluSight-trained_med","FluSight","trained_med","FluSight-trained_med","Ensemble models using 6 weeks of FluSight forecast submissions",FALSE,"the hubverse package hubensembles is used to generate the ensemble forecast. a weighted median of quantile outputs is used for all eligible quantile-based forecasts with submissions during the prior six weeks. weights were calculated using a sigmoidal transformation of the forecasts’ relative weighted interval score with respect to the baseline forecast during the prior six weeks. the weight for included forecasts was limited to 0.3.","The Hubverse package hubEnsembles is used to generate the ensemble forecast. A weighted median of quantile outputs is used for all eligible quantile-based forecasts with submissions during the prior six weeks. Weights were calculated using a sigmoidal transformation of the forecasts’ relative weighted interval score with respect to the baseline forecast during the prior six weeks. The weight for included forecasts was limited to 0.3.",TRUE,FALSE,FALSE,TRUE
"Gatech-ensemble_point","Gatech","ensemble_point","Gatech-ISYE-TS","Ensemble of Statistical and ML Time Series Point Estimates",TRUE,"ensemble of statistical and ml time series model predictions, including arima, argo, argo2, and deep learning models. arima and argo (autoregression with google search data) models are used to produce univariate forecasts for each location, incorporating google trends search volumes of flu-related terms as exogenous variables. argo2 (2-step augmented regression with google data) performs state-level prediction using both state- and national-level argo predictions. a local window ensemble strategy is adopted to integrate the results from arima, argo, argo2, and deep learning models into the final ensemble predictions.","Ensemble of statistical and ML time series model predictions, including ARIMA, ARGO, ARGO2, and deep learning models. ARIMA and ARGO (AutoRegression with GOogle search data) models are used to produce univariate forecasts for each location, incorporating Google Trends search volumes of flu-related terms as exogenous variables. ARGO2 (2-step Augmented Regression with GOogle data) performs state-level prediction using both state- and national-level ARGO predictions. A local window ensemble strategy is adopted to integrate the results from ARIMA, ARGO, ARGO2, and deep learning models into the final ensemble predictions.",TRUE,FALSE,TRUE,TRUE
"Gatech-ensemble_prob","Gatech","ensemble_prob","Gatech-ISYE-TS","Ensemble of Attention-based Time Series Probabilistic Forecasts",TRUE,"we modified the output structure of cats and ictsp, along with other attention-based multivariate time series forecasting architectures, into a multiple-output quantile forecasting framework. this allows the model to build quantile predictions progressively extending outward from the median point prediction. the median is trained using mse loss, while the other quantile output heads are trained based on an adjusted wis loss. to construct a predictor pool, we train the models using core time-series predictors with varying complexities. finally, we adopt a local window ensemble strategy to integrate the results from different predictors into the final ensemble predictions.","We modified the output structure of CATS and ICTSP, along with other attention-based multivariate time series forecasting architectures, into a multiple-output quantile forecasting framework. This allows the model to build quantile predictions progressively extending outward from the median point prediction. The median is trained using MSE loss, while the other quantile output heads are trained based on an adjusted WIS loss. To construct a predictor pool, we train the models using core time-series predictors with varying complexities. Finally, we adopt a local window ensemble strategy to integrate the results from different predictors into the final ensemble predictions.",TRUE,FALSE,FALSE,TRUE
"Gatech-ensemble_stat","Gatech","ensemble_stat","Gatech-ISYE-TS","Ensemble of Statistical Learning Time Series Models",TRUE,"ensemble of statistical and machine learning time series model predictions, including arima, argo, argo2, and lightgbm models. arima, argo (autoregression with google search data) and lightgbm models are used to produce univariate forecasts for each location, incorporating google trends search volumes of flu-related terms as exogenous variables. argo2 (2-step augmented regression with google data) performs state-level prediction using both state- and national-level argo predictions. the results from arima, argo, argo2, and lightgbm models are combined into the final ensemble predictions.","Ensemble of statistical and machine learning time series model predictions, including ARIMA, ARGO, ARGO2, and LightGBM models. ARIMA, ARGO (AutoRegression with GOogle search data) and LightGBM models are used to produce univariate forecasts for each location, incorporating Google Trends search volumes of flu-related terms as exogenous variables. ARGO2 (2-step Augmented Regression with GOogle data) performs state-level prediction using both state- and national-level ARGO predictions. The results from ARIMA, ARGO, ARGO2, and LightGBM models are combined into the final ensemble predictions.",TRUE,FALSE,TRUE,TRUE
"GH-model","GH","model","Guidehouse","model",FALSE,"","",FALSE,FALSE,FALSE,TRUE
